batch_code,material_type,quantity_kg,color,grade,location,status,waste_type,waste_kg,disposal_method,recycled_percentage,co2_equivalent_kg,period_month,period_year
BATCH-2025-002,polyester,1180.0,black,B,Warehouse B,active,cutting_waste,141.6,recycled,68.0,21.2,1,2025
BATCH-2025-003,denim,890.0,blue,A,Warehouse C,active,cutting_waste,106.8,recycled,66.0,16.0,1,2025
BATCH-2025-004,nylon,470.0,green,A,Warehouse B,active,fabric_scraps,47.0,upcycled,81.0,7.1,2,2025
BATCH-2025-005,wool,360.0,grey,A,Cold Storage,active,fabric_scraps,36.0,donated,93.0,5.4,2,2025
BATCH-2025-006,silk,130.0,cream,A,Secure Storage,active,fabric_scraps,13.0,upcycled,91.0,2.0,2,2025
BATCH-2025-007,cotton,1380.0,raw,A,Warehouse A,active,cutting_waste,165.6,recycled,77.0,24.8,3,2025
BATCH-2025-008,viscose,740.0,white,B,Warehouse D,active,water_waste,148.0,recycled,57.0,22.2,3,2025
BATCH-2025-009,polyester,1100.0,red,A,Warehouse B,active,cutting_waste,132.0,recycled,73.0,19.8,3,2025
BATCH-2025-010,linen,400.0,natural,A,Warehouse A,active,fabric_scraps,40.0,composted,89.0,6.0,4,2025
BATCH-2025-011,cotton,1200.0,blue,A,Warehouse C,active,cutting_waste,144.0,recycled,75.0,21.6,4,2025
BATCH-2025-012,denim,940.0,indigo,B,Warehouse C,active,cutting_waste,112.8,recycled,62.0,16.9,4,2025
BATCH-2025-013,nylon,590.0,black,A,Warehouse B,active,fabric_scraps,59.0,recycled,79.0,8.9,5,2025
BATCH-2025-014,wool,430.0,cream,A,Cold Storage,active,fabric_scraps,43.0,donated,90.0,6.5,5,2025
BATCH-2025-015,silk,105.0,gold,A,Secure Storage,active,fabric_scraps,10.5,upcycled,93.0,1.6,5,2025
BATCH-2025-016,cotton,1450.0,white,A,Warehouse A,active,cutting_waste,174.0,recycled,79.0,26.1,6,2025
BATCH-2025-017,polyester,1250.0,white,A,Warehouse B,active,cutting_waste,150.0,recycled,74.0,22.5,6,2025
BATCH-2025-018,viscose,680.0,pink,B,Warehouse D,active,water_waste,136.0,recycled,60.0,20.4,6,2025
BATCH-2025-019,linen,390.0,natural,A,Warehouse A,active,fabric_scraps,39.0,composted,88.0,5.9,7,2025
BATCH-2025-020,cotton,1100.0,orange,B,Warehouse C,active,dye_waste,110.0,recycled,42.0,16.5,7,2025
BATCH-2025-021,nylon,620.0,navy,A,Warehouse B,active,fabric_scraps,62.0,upcycled,83.0,9.3,7,2025
BATCH-2025-022,wool,480.0,charcoal,A,Cold Storage,active,fabric_scraps,48.0,donated,88.0,7.2,8,2025
BATCH-2025-023,denim,1000.0,black,A,Warehouse C,active,cutting_waste,120.0,recycled,70.0,18.0,8,2025
BATCH-2025-024,silk,115.0,white,A,Secure Storage,active,fabric_scraps,11.5,upcycled,94.0,1.7,8,2025
BATCH-2025-025,polyester,1400.0,black,A,Warehouse A,active,cutting_waste,168.0,recycled,76.0,25.2,9,2025
BATCH-2025-026,cotton,980.0,blue,B,Warehouse B,active,dye_waste,98.0,recycled,38.0,14.7,9,2025
BATCH-2025-027,viscose,710.0,white,A,Warehouse D,active,water_waste,142.0,recycled,64.0,21.3,9,2025
BATCH-2025-028,linen,360.0,natural,A,Warehouse A,active,fabric_scraps,36.0,composted,91.0,5.4,10,2025
BATCH-2025-029,nylon,550.0,green,A,Warehouse B,active,fabric_scraps,55.0,recycled,80.0,8.3,10,2025
BATCH-2025-030,wool,520.0,grey,A,Cold Storage,active,fabric_scraps,52.0,donated,90.0,7.8,10,2025
BATCH-2025-031,cotton,1600.0,white,A,Warehouse A,active,cutting_waste,192.0,recycled,82.0,28.8,11,2025
BATCH-2025-032,denim,910.0,indigo,A,Warehouse C,active,cutting_waste,109.2,recycled,68.0,16.4,11,2025
BATCH-2025-033,polyester,1050.0,white,A,Warehouse B,active,cutting_waste,126.0,recycled,72.0,18.9,11,2025
BATCH-2025-034,silk,125.0,rose,A,Secure Storage,active,fabric_scraps,12.5,upcycled,95.0,1.9,12,2025
BATCH-2025-035,cotton,1550.0,raw,A,Warehouse A,active,cutting_waste,186.0,recycled,81.0,27.9,12,2025
BATCH-2025-036,viscose,760.0,cream,A,Warehouse D,active,water_waste,152.0,recycled,65.0,22.8,12,2025
